,client_rk,first_name,last_name,phone_num,visit_dttm
0,15,Яна,Назарова,+79634108398,2022-12-17 08:59:28.697414
1,31,Нестор,Кабанов,+79514786505,2022-12-20 19:28:38.474311
2,79,Герман,Мухин,+79518077147,2022-11-11 07:41:58.743396
3,159,Евгений,Филатов,+79517853142,2022-11-16 07:15:42.474336
4,255,Рафаил,Куликов,+79685866669,2022-11-07 01:01:13.510552
5,276,Любовь,Борисова,+79001421394,2022-10-20 17:15:49.940988
6,420,Изабелла,Турова,+79098932003,2022-09-29 17:07:54.202672
7,452,Арсений,Николаев,+79043713054,2022-09-17 10:14:47.345686
8,585,Иммануил,Брагин,+79681793983,2022-10-04 15:16:05.638054
9,601,Эльвира,Кудрявцева,+79686218671,2022-11-24 04:31:19.990473
10,617,Аркадий,Громов,+79084542494,2023-01-08 13:23:50.436122
11,633,Искра,Кузнецова,+79672527572,2022-10-25 15:52:17.616294
12,649,Валерия,Николаева,+79672681072,2022-11-16 17:36:30.600202
13,665,Семён,Морозов,+79639871727,2023-01-14 16:27:14.997234
14,713,Эльвира,Рябова,+79092821373,2022-12-02 19:12:30.378334
15,745,Инна,Симонова,+79641901322,2022-10-20 05:48:18.592740
16,846,Витольд,Кириллов,+79537763163,2023-01-13 22:59:28.430319
17,942,Ираклий,Рогов,+79005019890,2022-12-28 06:20:48.388240
18,958,Алина,Громова,+79633091736,2022-10-13 03:07:21.467088
19,974,Антонина,Гуляева,+79533556541,2022-11-24 10:05:41.629878
20,1006,Виль,Щукин,+79668287535,2022-12-21 08:43:30.079399
21,1022,Рафаил,Ситников,+79023449815,2022-11-23 08:42:40.037345
22,1059,Глеб,Панфилов,+79044858020,2023-01-30 10:22:15.348165
23,1075,Марта,Калинина,+79001392413,2022-12-30 15:09:37.922434
24,1091,Гарри,Архипов,+79635158278,2023-01-28 15:53:40.069921
25,1251,Вера,Артемьева,+79044697772,2023-01-28 02:17:40.392773
26,1416,Майя,Степанова,+79521676691,2022-11-06 07:36:51.352667
27,1448,Клавдия,Шарова,+79082341242,2022-10-14 11:03:16.784582
28,1464,Олеся,Некрасова,+79041129508,2023-01-11 19:41:25.686404
29,1597,Яна,Андреева,+79532849284,2023-01-22 14:23:11.344267
30,1613,Ярослав,Сысоев,+79087070234,2022-12-16 19:22:38.932588
31,1693,Эдуард,Фролов,+79633513357,2022-10-23 01:02:34.938314
32,1709,Рената,Громова,+79026380140,2022-12-30 10:33:11.756997
33,1757,Стефан,Ларионов,+79001088763,2022-12-07 15:36:03.418642
34,1789,Людмила,Бобылёва,+79687438971,2023-01-03 09:45:30.761370
35,1794,Рада,Орлова,+79515598814,2022-10-04 04:10:12.988212
36,1890,Валериан,Петров,+79523800263,2022-12-11 21:56:58.939009
37,2002,Елена,Галкина,+79539938502,2023-01-22 22:10:47.141960
38,2103,Ева,Зиновьева,+79527254204,2022-09-18 20:05:50.493827
39,2199,Феликс,Горбачёв,+79645471388,2022-10-06 11:02:14.943920
40,2263,Дан,Куликов,+79508615405,2022-10-22 06:06:27.720770
41,2316,Игнатий,Емельянов,+79665307285,2022-12-12 22:07:58.542352
42,2428,Антонин,Никифоров,+79534232435,2023-01-22 20:27:38.897272
43,2444,Варвара,Ершова,+79651364295,2022-10-03 10:08:23.663117
44,2561,Никита,Третьяков,+79096706212,2022-10-06 23:47:50.004362
45,2577,Елизавета,Сысоева,+79679347704,2022-11-15 17:50:02.300727
46,2753,Лев,Щукин,+79042481128,2022-11-19 17:39:59.742660
47,2801,Мария,Герасимова,+79022447616,2022-10-08 14:07:17.121802
48,2886,Нестор,Цветков,+79026132997,2023-02-02 02:22:04.176738
49,2902,Вероника,Овчинникова,+79675735179,2023-01-15 09:28:07.543854
50,2918,Изольда,Нестерова,+79024851374,2022-11-21 20:49:15.964950
